crop,track_id,label,manufacturer,chemistry,model,voltage,capacity,marks,n_chars
li_ion_laptop__run5__id026_c0.88.jpg,26,li_ion_laptop,"","Li-ion","A32-L750","11.55V","41Wh","CE;WEEE",34
li_ion_laptop__run6__id001_c0.93.jpg,1,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",24
li_ion_laptop__run6__id002_c0.93.jpg,2,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE;UL;RoHS;recycle",42
li_ion_laptop__run6__id003_c0.94.jpg,3,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",24
li_ion_laptop__run6__id006_c0.94.jpg,6,li_ion_laptop,"DELL","Li-ion","A7MW","11.55V","41Wh","CE;WEEE",50
li_ion_laptop__run7__id001_c0.91.jpg,1,li_ion_laptop,"","Li-ion","DSTT","11.55V","35Wh","CE;WEEE",28
li_ion_laptop__run7__id003_c0.69.jpg,3,li_ion_laptop,"","Li-ion","D420","11.55V","3600mAh","CE;WEEE",31
li_ion_laptop__run7__id004_c0.93.jpg,4,li_ion_laptop,"","Li-ion","","12.0V","3600mAh","CE;WEEE",26
li_ion_laptop__run7__id007_c0.92.jpg,7,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_laptop__run8__id001_c0.92.jpg,1,li_ion_laptop,"Dell","Li-ion","MW590","11.55V","41Wh","CE;WEEE",33
li_ion_laptop__run8__id002_c0.90.jpg,2,li_ion_laptop,"DELL","Li-ion","UW883","11.55V","41Wh","CE;WEEE",33
li_ion_laptop__run8__id004_c0.91.jpg,4,li_ion_laptop,"","Li-ion","","11.55V","41Wh","CE;WEEE;UL;RoHS",35
li_ion_laptop__run8__id006_c0.93.jpg,6,li_ion_laptop,"Dell","Li-ion","J4N0927","11.55V","35Wh","CE;WEEE",35
li_ion_laptop__run9__id001_c0.93.jpg,1,li_ion_laptop,"","Li-ion","PBTT","18.5V","3600mAh","CE;WEEE",41
li_ion_laptop__run9__id002_c0.92.jpg,2,li_ion_laptop,"","Li-ion","","11.55V","3600mAh","CE;WEEE",27
li_ion_laptop__run9__id004_c0.90.jpg,4,li_ion_laptop,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_laptop__run9__id005_c0.89.jpg,5,li_ion_laptop,"TST","Li-ion","Z524","11.55V","3600mAh","CE;WEEE;RoHS",53
li_ion_mobile__run21__id001_c0.95.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run22__id001_c0.95.jpg,1,li_ion_mobile,"Samsung","Li-ion","EB-BG920ABE","3.7V","3000mAh","CE;RoHS",48
li_ion_mobile__run22__id002_c0.94.jpg,2,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",23
li_ion_mobile__run22__id026_c0.94.jpg,26,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run23__id001_c0.96.jpg,1,li_ion_mobile,"","Li-ion","YB17T2A8","11.55V","3600mAh","CE",52
li_ion_mobile__run23__id002_c0.91.jpg,2,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","UL;RoHS",33
li_ion_mobile__run23__id003_c0.90.jpg,3,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",24
li_ion_mobile__run24__id001_c0.93.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","UL;RoHS",26
li_ion_mobile__run24__id002_c0.94.jpg,2,li_ion_mobile,"","Li-ion","","3.7V","3200mAh","X",20
li_ion_mobile__run24__id016_c0.94.jpg,16,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run25__id001_c0.96.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",27
li_ion_mobile__run25__id002_c0.92.jpg,2,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run26__id001_c0.95.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",31
li_ion_mobile__run27__id001_c0.94.jpg,1,li_ion_mobile,"","Li-ion","11.55V 21Ah","11.55V","21Ah","UL;RoHS",247
li_ion_mobile__run27__id002_c0.92.jpg,2,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run28__id001_c0.95.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","UL;RoHS",28
li_ion_mobile__run28__id002_c0.93.jpg,2,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","UL;RoHS",28
li_ion_mobile__run29__id001_c0.95.jpg,1,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run29__id002_c0.96.jpg,2,li_ion_mobile,"SUNG","Li-ion","","3.7V","2800mAh","CE",25
li_ion_mobile__run30__id001_c0.92.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run31__id001_c0.95.jpg,1,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run31__id002_c0.94.jpg,2,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run31__id003_c0.94.jpg,3,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run31__id004_c0.81.jpg,4,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run31__id005_c0.67.jpg,5,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run31__id006_c0.48.jpg,6,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run31__id007_c0.40.jpg,7,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run31__id008_c0.39.jpg,8,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run31__id009_c0.32.jpg,9,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run31__id032_c0.92.jpg,32,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run31__id038_c0.94.jpg,38,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",26
li_ion_mobile__run31__id044_c0.94.jpg,44,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE",24
li_ion_mobile__run31__id049_c0.94.jpg,49,li_ion_mobile,"","Li-ion","","3.7V","2000mAh","CE",24
li_ion_mobile__run31__id054_c0.94.jpg,54,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run31__id059_c0.94.jpg,59,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",24
li_ion_mobile__run31__id063_c0.94.jpg,63,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",24
li_ion_mobile__run32__id001_c0.95.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","UL;RoHS",31
li_ion_mobile__run32__id002_c0.95.jpg,2,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run32__id037_c0.94.jpg,37,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",23
li_ion_mobile__run32__id040_c0.94.jpg,40,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run32__id045_c0.95.jpg,45,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run32__id055_c0.95.jpg,55,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run33__id001_c0.95.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run33__id002_c0.95.jpg,2,li_ion_mobile,"","Li-ion","","11.55V","3600mAh","CE;WEEE",35
li_ion_mobile__run33__id003_c0.75.jpg,3,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",28
li_ion_mobile__run33__id011_c0.93.jpg,11,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run33__id018_c0.94.jpg,18,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run33__id026_c0.96.jpg,26,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run33__id035_c0.96.jpg,35,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run33__id042_c0.95.jpg,42,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run33__id052_c0.95.jpg,52,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run33__id058_c0.95.jpg,58,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run33__id064_c0.95.jpg,64,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run33__id070_c0.76.jpg,70,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run34__id001_c0.96.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run34__id002_c0.96.jpg,2,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","UL;RoHS",26
li_ion_mobile__run35__id001_c0.94.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",28
li_ion_mobile__run36__id001_c0.95.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run36__id002_c0.95.jpg,2,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run36__id003_c0.95.jpg,3,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run37__id001_c0.96.jpg,1,li_ion_mobile,"","Li-ion","","3.75V","3750mAh","CE;RoHS",25
li_ion_mobile__run38__id001_c0.94.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",31
li_ion_mobile__run39__id001_c0.95.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",29
li_ion_mobile__run40__id001_c0.96.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",26
li_ion_mobile__run40__id003_c0.94.jpg,3,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run40__id008_c0.95.jpg,8,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run40__id011_c0.95.jpg,11,li_ion_mobile,"","Li-ion","","3.7V","2200mAh","CE;WEEE",28
li_ion_mobile__run40__id016_c0.96.jpg,16,li_ion_mobile,"","Li-ion","","3.7V","2800mAh","UL;RoHS",24
li_ion_mobile__run40__id017_c0.95.jpg,17,li_ion_mobile,"","","","","","CE",9
li_ion_mobile__run40__id023_c0.95.jpg,23,li_ion_mobile,"SAMSUNG","Li-ion","","3.7V","2600mAh","CE;RoHS",35
li_ion_mobile__run40__id028_c0.95.jpg,28,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run40__id029_c0.96.jpg,29,li_ion_mobile,"Samsung","Li-ion","","3.7V","2800mAh","CE",31
li_ion_mobile__run40__id036_c0.96.jpg,36,li_ion_mobile,"Samsung","Li-ion","","3.7V","2800mAh","CE;RoHS",35
li_ion_mobile__run40__id037_c0.92.jpg,37,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run40__id042_c0.96.jpg,42,li_ion_mobile,"","Li-ion","","3.7V","2200mAh","CE;WEEE",28
li_ion_mobile__run40__id047_c0.96.jpg,47,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run40__id048_c0.96.jpg,48,li_ion_mobile,"SWMSONG","Li-ion","C88","3.7V","2600mAh","CE",34
li_ion_mobile__run40__id050_c0.96.jpg,50,li_ion_mobile,"","Li-ion","","11.55V","3600mAh","CE;RoHS",26
li_ion_mobile__run40__id054_c0.96.jpg,54,li_ion_mobile,"Samsung","Li-ion","EB-BG920ABE","3.8V","3000mAh","CE;WEEE",45
li_ion_mobile__run40__id060_c0.96.jpg,60,li_ion_mobile,"SWMSONE","Li-ion","C698","3.7V","2600mAh","CE",35
li_ion_mobile__run40__id065_c0.96.jpg,65,li_ion_mobile,"Samsung","Li-ion","","3.7V","3200mAh","CE;RoHS",35
li_ion_mobile__run40__id070_c0.96.jpg,70,li_ion_mobile,"SVM SUNE","Li-ion","","3.7V","2200mAh","CE",31
li_ion_mobile__run40__id075_c0.96.jpg,75,li_ion_mobile,"","Li-ion","C68","3.7V","2600mAh","CE",27
li_ion_mobile__run40__id079_c0.96.jpg,79,li_ion_mobile,"Samsung","Li-ion","","3.7V","2600mAh","CE",31
li_ion_mobile__run40__id084_c0.96.jpg,84,li_ion_mobile,"Samsung","Li-ion","","3.7V","2200mAh","CE;RoHS",35
li_ion_mobile__run40__id088_c0.96.jpg,88,li_ion_mobile,"SVMsung","Li-ion","","3.7V","2600mAh","CE",31
li_ion_mobile__run40__id094_c0.93.jpg,94,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run41__id001_c0.95.jpg,1,li_ion_mobile,"","Li-ion","","11.55V","3600mAh","UL;RoHS",26
li_ion_mobile__run41__id002_c0.95.jpg,2,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",24
li_ion_mobile__run41__id003_c0.96.jpg,3,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run41__id004_c0.96.jpg,4,li_ion_mobile,"","Li-ion","","11.55V","3600mAh","CE;WEEE",28
li_ion_mobile__run41__id005_c0.94.jpg,5,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",31
li_ion_mobile__run41__id006_c0.96.jpg,6,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run41__id008_c0.84.jpg,8,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run41__id009_c0.96.jpg,9,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",24
li_ion_mobile__run41__id011_c0.93.jpg,11,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",31
li_ion_mobile__run41__id014_c0.95.jpg,14,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run41__id034_c0.94.jpg,34,li_ion_mobile,"","Li-ion","","11.55V","3600mAh","UL;RoHS",28
li_ion_mobile__run42__id001_c0.95.jpg,1,li_ion_mobile,"Samsung","Li-ion","2VMSU","11.55V","3600mAh","CE;WEEE",40
li_ion_mobile__run42__id002_c0.96.jpg,2,li_ion_mobile,"anusmies","Li-ion","","3.7V","2800mAh","CE",35
li_ion_mobile__run42__id004_c0.95.jpg,4,li_ion_mobile,"","Li-ion","","3.7V","2200mAh","CE;RoHS",31
li_ion_mobile__run42__id006_c0.95.jpg,6,li_ion_mobile,"Samsung","Li-ion","","3.7V","2900mAh","CE;RoHS",35
li_ion_mobile__run42__id008_c0.96.jpg,8,li_ion_mobile,"","Li-ion","","3.7V","2200mAh","CE;WEEE",31
li_ion_mobile__run43__id001_c0.95.jpg,1,li_ion_mobile,"Samsung","Li-ion","","3.7V","2600mAh","CE;RoHS",35
li_ion_mobile__run43__id002_c0.94.jpg,2,li_ion_mobile,"","Li-ion","","3.7V","2900mAh","CE;WEEE",31
li_ion_mobile__run43__id004_c0.96.jpg,4,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","UL;RoHS",31
li_ion_mobile__run43__id007_c0.96.jpg,7,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run43__id010_c0.95.jpg,10,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",24
li_ion_mobile__run43__id012_c0.95.jpg,12,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",26
li_ion_mobile__run43__id016_c0.96.jpg,16,li_ion_mobile,"","Li-ion","","3.7V","3150mAh","CE;WEEE",28
li_ion_mobile__run43__id017_c0.93.jpg,17,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run43__id020_c0.96.jpg,20,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run43__id021_c0.94.jpg,21,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run44__id001_c0.95.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","UL;RoHS",31
li_ion_mobile__run44__id007_c0.94.jpg,7,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
